rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
188,627,Major S1,TV,26,2004,58602,8.37
189,1210,NHK ni Youkoso!,TV,24,2006,411792,8.37
190,36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,TV,12,2018,212934,8.37
191,338,Versailles no Bara,TV,40,1979,48577,8.37
192,57,Beck,TV,26,2004,196471,8.36
193,6945,Gintama: Shiroyasha Koutan,Special,1,2008,38802,8.36
194,32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,2017,496090,8.36
195,1842,Major S3,TV,26,2007,41635,8.36
196,5081,Bakemonogatari,TV,15,2009,722111,8.35
197,264,Hajime no Ippo: Champion Road,Special,1,2003,70170,8.35
198,15227,Kono Sekai no Katasumi ni,Movie,1,2016,61899,8.35
199,11771,Kuroko no Basket,TV,25,2012,524966,8.35
200,558,Major S2,TV,26,2005,43257,8.35
201,437,Perfect Blue,Movie,1,1998,206798,8.35
202,329,Planetes,TV,26,2003,148860,8.35
203,37095,Violet Evergarden: Kitto &amp;quot;Koi&amp;quot; wo Shiru Hi ga Kuru no Darou,Special,1,2018,61196,8.35
204,5460,Detective Conan Movie 13: The Raven Chaser,Movie,1,2009,31918,8.34
205,43,Ghost in the Shell,Movie,1,1995,359745,8.34
206,36296,Hinamatsuri,TV,12,2018,176517,8.34
207,9617,K-On! Movie,Movie,1,2011,162850,8.34
208,11843,Danshi Koukousei no Nichijou,TV,12,2012,408244,8.33
209,19363,Gin no Saji 2nd Season,TV,11,2014,93706,8.33
210,1889,Higurashi no Naku Koro ni Kai,TV,24,2007,286663,8.33
211,5690,Nodame Cantabile Finale,TV,11,2010,89704,8.33
212,2966,Ookami to Koushinryou,TV,13,2008,473896,8.33
213,34537,Yoru wa Mijikashi Arukeyo Otome,Movie,1,2017,38743,8.33
214,36649,Banana Fish,TV,24,2018,102900,8.32
215,22297,Fate/stay night: Unlimited Blade Works,TV,12,2014,465059,8.32
216,1142,Hachimitsu to Clover II,TV,12,2006,75135,8.32
217,23317,Kuroshitsuji: Book of Murder,OVA,2,2015,117926,8.32
218,30,Neon Genesis Evangelion,TV,26,1995,704963,8.32
219,853,Ouran Koukou Host Club,TV,26,2006,571280,8.32
220,6675,Redline,Movie,1,2009,174211,8.32
221,35466,ReLIFE: Kanketsu-hen,Special,4,2018,110467,8.32
222,9863,SKET Dance,TV,77,2011,139168,8.32
223,32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,2015,106792,8.32
224,2236,Toki wo Kakeru Shoujo,Movie,1,2006,445898,8.32
225,34822,Tsuki ga Kirei,TV,12,2017,200106,8.32
226,34798,Yuru Camp△,TV,12,2018,147734,8.32
227,2402,Ashita no Joe,TV,79,1970,34916,8.31
228,7674,Bakuman.,TV,25,2010,357595,8.31
229,34636,Ballroom e Youkoso,TV,24,2017,138505,8.31
230,36896,Boku no Hero Academia the Movie: Futari no Hero,Movie,1,2018,103322,8.31
231,35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,2018,67819,8.31
232,9735,Gintama: Shinyaku Benizakura-hen,Special,1,2010,21800,8.31
233,3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,2007,164183,8.31
234,6811,InuYasha: Kanketsu-hen,TV,26,2009,143811,8.31
235,22145,Kuroshitsuji: Book of Circus,TV,10,2014,193343,8.31
236,18195,Little Busters!: Refrain,TV,13,2013,102293,8.31
237,3226,Major S4,TV,26,2008,39437,8.31
238,9890,Major: Message,OVA,1,2010,18483,8.31
239,4155,One Piece Film: Strong World,Movie,1,2009,123874,8.31
240,13759,Sakurasou no Pet na Kanojo,TV,24,2012,606601,8.31
241,1033,Sennen Joyuu,Movie,1,2002,87250,8.31
242,759,Tokyo Godfathers,Movie,1,2003,135766,8.31
243,12115,Berserk: Ougon Jidai-hen III - Kourin,Movie,1,2013,108811,8.3
244,32867,Bungou Stray Dogs 2nd Season,TV,12,2016,233481,8.3
245,813,Dragon Ball Z,TV,291,1989,582201,8.3
246,138,Hunter x Hunter: Greed Island,OVA,8,2003,79377,8.3
247,22507,Initial D Final Stage,TV,4,2014,46288,8.3
248,16664,Kaguya-hime no Monogatari,Movie,1,2013,83245,8.3
249,34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,2018,314325,8.3
250,12859,One Piece Film: Z,Movie,1,2012,120603,8.3
251,6,Trigun,TV,26,1998,403895,8.3
252,3091,xxxHOLiC Kei,TV,13,2008,94112,8.3
253,6547,Angel Beats!,TV,13,2010,1089044,8.29
254,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,2000,79375,8.29
255,31988,Hibike! Euphonium 2,TV,13,2016,108146,8.29
256,185,Initial D First Stage,TV,26,1998,131239,8.29
257,1604,Katekyo Hitman Reborn!,TV,203,2006,353550,8.29
258,28675,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,1,2015,118142,8.29
259,512,Majo no Takkyuubin,Movie,1,1989,235185,8.29
260,585,Mimi wo Sumaseba,Movie,1,1995,141592,8.29
261,6864,xxxHOLiC Rou,OVA,2,2010,46333,8.29
262,10800,Chihayafuru,TV,25,2011,231248,8.28
263,121,Fullmetal Alchemist,TV,51,2003,844575,8.28
264,6336,Mobile Suit Gundam Unicorn,OVA,7,2010,57579,8.28
265,19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,1,2013,29089,8.28
