rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
469,17265,Log Horizon,TV,25,2013,603137,8.0
470,36563,Megalo Box,TV,13,2018,178640,8.0
473,29803,Overlord,TV,13,2015,574494,8.0
479,21855,Hanamonogatari,TV,5,2014,211890,8.0
480,25649,Junjou Romantica 3,TV,12,2015,63022,8.0
481,861,xxxHOLiC,TV,24,2006,195398,8.0
483,3907,Ginga Sengoku Gunyuuden Rai,TV,52,1994,8113,8.0
484,33899,IDOLiSH7,TV,17,2018,17258,8.0
486,11739,Kimi to Boku. 2,TV,13,2012,57717,8.0
487,28297,Ore Monogatari!!,TV,24,2015,322030,8.0
489,35968,Wotaku ni Koi wa Muzukashii,TV,11,2018,211274,8.0
491,122,Full Moon wo Sagashite,TV,52,2002,74346,8.0
493,9996,Hyouge Mono,TV,39,2011,16164,8.0
494,10080,Kami nomi zo Shiru Sekai II,TV,12,2011,257093,8.0
496,34451,Kekkai Sensen &amp;amp; Beyond,TV,12,2017,177314,8.0
497,5678,Kobato.,TV,24,2009,112836,8.0
498,77,Mahou Shoujo Lyrical Nanoha A's,TV,13,2005,49680,8.0
500,2159,Ookiku Furikabutte,TV,25,2007,64078,8.0
504,2924,ef: A Tale of Memories.,TV,12,2007,188660,8.0
505,15,Eyeshield 21,TV,145,2005,113702,8.0
506,6702,Fairy Tail,TV,175,2009,885854,8.0
509,2762,Igano Kabamaru,TV,24,1983,6896,8.0
511,15689,Nekomonogatari: Kuro,TV,4,2012,280689,8.0
513,9926,Sekaiichi Hatsukoi,TV,12,2011,129101,8.0
517,9941,Tiger &amp;amp; Bunny,TV,25,2011,147693,8.0
520,31098,Ushio to Tora (TV) 2nd Season,TV,13,2016,73613,8.0
522,66,Azumanga Daioh,TV,26,2002,213785,8.0
524,31339,Drifters,TV,12,2016,269521,8.0
526,427,Kaleido Star,TV,51,2003,54917,8.0
528,6774,Kuuchuu Buranko,TV,11,2009,57872,8.0
529,957,Saiunkoku Monogatari,TV,39,2006,64803,8.0
530,2150,Tanoshii Muumin Ikka,TV,78,1990,11028,8.0
531,6586,Yume-iro Pâtissière,TV,50,2009,48042,8.0
532,9513,Beelzebub,TV,60,2011,327707,8.0
533,73,Full Metal Panic! The Second Raid,TV,13,2005,194646,8.0
534,29095,Grisaia no Rakuen,TV,10,2015,202375,8.0
535,387,Haibane Renmei,TV,13,2002,162333,8.0
536,27989,Hibike! Euphonium,TV,13,2015,223520,8.0
538,2829,Ie Naki Ko Remy,TV,23,1996,10448,8.0
539,1594,Jigoku Shoujo Futakomori,TV,26,2006,106017,8.0
541,1088,Macross,TV,36,1982,62956,8.0
542,10721,Mawaru Penguindrum,TV,24,2011,201891,8.0
543,31251,Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,2015,110580,8.0
545,3588,Soul Eater,TV,51,2008,849334,8.0
546,2618,Takarajima,TV,26,1978,9339,8.0
547,32093,Tanaka-kun wa Itsumo Kedaruge,TV,12,2016,187226,8.0
550,30279,Yuru Yuri San☆Hai!,TV,12,2015,72595,8.0
554,27775,Plastic Memories,TV,13,2015,387596,8.0
555,24,School Rumble,TV,26,2004,225155,8.0
557,6582,Tentai Senshi Sunred 2nd Season,TV,26,2009,5795,8.0
559,28,Yakitate!! Japan,TV,69,2004,65404,8.0
563,9289,Hanasaku Iroha,TV,26,2011,207767,8.0
565,13331,Jormungand: Perfect Order,TV,12,2012,114947,8.0
568,17549,Non Non Biyori,TV,12,2013,209230,8.0
569,339,Serial Experiments Lain,TV,13,1998,318498,8.0
570,12815,Shirokuma Cafe,TV,50,2012,59987,8.0
571,22,Tennis no Ouji-sama,TV,178,2001,112794,8.0
572,2158,Terra e... (TV),TV,24,2007,45377,8.0
573,996,Bishoujo Senshi Sailor Moon: Sailor Stars,TV,34,1996,66194,7.9
574,1470,City Hunter,TV,51,1987,31593,7.9
579,85,Mobile Suit Zeta Gundam,TV,50,1985,40330,7.9
580,114,Sakigake!! Cromartie Koukou,TV,26,2003,90270,7.9
581,22319,Tokyo Ghoul,TV,12,2014,1123638,7.9
582,658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26,2005,64779,7.9
583,37786,Yagate Kimi ni Naru,TV,13,2018,66668,7.9
585,790,Ergo Proxy,TV,23,2006,365542,7.9
590,3228,Zoku Sayonara Zetsubou Sensei,TV,13,2008,91122,7.9
593,2035,Eikoku Koi Monogatari Emma: Molders-hen,TV,12,2007,15967,7.9
595,4898,Kuroshitsuji,TV,24,2008,601819,7.9
596,3572,Macross F,TV,25,2008,113129,7.9
598,35073,Overlord II,TV,13,2018,316683,7.9
600,2605,Sayonara Zetsubou Sensei,TV,12,2007,225155,7.9
603,849,Suzumiya Haruhi no Yuuutsu,TV,14,2006,576599,7.9
604,1485,Akachan to Boku,TV,35,1996,12094,7.9
610,15809,Hataraku Maou-sama!,TV,13,2013,690113,7.9
612,3092,Junjou Romantica,TV,12,2008,153801,7.9
613,19111,Love Live! School Idol Project 2nd Season,TV,13,2014,150865,7.9
618,6377,Zan Sayonara Zetsubou Sensei,TV,13,2009,70039,7.9
623,7062,Hidamari Sketch x ☆☆☆,TV,12,2010,19289,7.9
624,11239,Hidamari Sketch x Honeycomb,TV,12,2012,15811,7.9
625,27947,Lupin III (2015),TV,24,2015,32542,7.9
626,25517,Magic Kaito 1412,TV,24,2014,66374,7.9
