rang,id,naslov,tip,st_epizod,leto,ogledi,ocena
265,19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,1,2,29089,8.2
266,31715,Working!!!: Lord of the Takanashi,Special,1,2,58186,8.2
267,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,2,396546,8.2
268,32005,Detective Conan Movie 20: The Darkest Nightmare,Movie,1,2,16838,8.2
269,6746,Durarara!!,TV,24,2,797100,8.2
270,35972,Fairy Tail: Final Series,TV,26,2,93143,8.2
272,33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,2,62286,8.2
273,23327,Space☆Dandy 2nd Season,TV,13,2,92277,8.2
274,1519,Black Lagoon: The Second Barrage,TV,12,2,278536,8.2
275,265,Hajime no Ippo: Mashiba vs. Kimura,OVA,1,2,57477,8.2
276,25681,Kamisama Hajimemashita◎,TV,12,2,155468,8.2
277,11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1,2,123027,8.2
278,962,Aria The Natural,TV,26,2,50759,8.2
279,28223,Death Parade,TV,12,2,722243,8.2
280,235,Detective Conan,TV,1,2,30328,8.2
282,31658,Kuroko no Basket Movie 4: Last Game,Movie,1,2,86700,8.2
283,31051,Kuroko no Basket: Saikou no Present Desu,Special,1,2,43453,8.2
284,10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie,1,2,17112,8.2
285,23755,Nanatsu no Taizai,TV,24,2,732925,8.2
286,9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,2,42419,8.2
287,37171,Asobi Asobase,TV,12,2,102621,8.2
288,20899,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,2,270744,8.2
289,16782,Kotonoha no Niwa,Movie,1,2,350216,8.2
290,1453,Maison Ikkoku,TV,96,1,34679,8.2
291,21557,Omoide no Marnie,Movie,1,2,108014,8.2
292,1364,Detective Conan Movie 05: Countdown to Heaven,Movie,1,2,35472,8.2
293,18,Initial D Fourth Stage,TV,24,2,72171,8.2
294,35062,Mahoutsukai no Yome,TV,24,2,386535,8.2
295,32902,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,2,164084,8.2
